ObservedAgentID;CounterpartyID;ContractID;InstrumentID;CounterpartyRole;CounterpartyRoleEndDate;CollectiveDebtSettlementStatus
444555999;444555999;220-00-03896-52;220000000000;7;;
444555999;220-00-03896-52_1;220-00-03896-52;220000000000;2;;
444555999;220-00-03896-52_2;220-00-03896-52;220000000000;2;;
444555999;444555999;220-00-03897-53;220000000000;1;;
444555999;444555999;220-00-03897-53;220000000000;7;;
444555999;220-00-03897-53_1;220-00-03897-53;220000000000;2;;
444555999;220-00-03897-53_2;220-00-03897-53;220000000000;2;;
444555999;444555999;220-00-03899-55;220000000000;1;;
444555999;444555999;220-00-03899-55;220000000000;7;;
444555999;220-00-03899-55_1;220-00-03899-55;220000000000;2;;
444555999;220-00-03899-55_2;220-00-03899-55;220000000000;2;;
444555999;444555999;220-00-03904-60;220000000000;1;;
444555999;444555999;220-00-03904-60;220000000000;7;;
444555999;220-00-03904-60_1;220-00-03904-60;220000000000;2;;
444555999;220-00-03904-60_2;220-00-03904-60;220000000000;2;;
444555999;444555999;220-00-03905-61;220000000000;1;;
444555999;444555999;220-00-03905-61;220000000000;7;;
444555999;220-00-03905-61_1;220-00-03905-61;220000000000;2;;
444555999;220-00-03905-61_2;220-00-03905-61;220000000000;2;;
444555999;444555999;220-00-03907-63;220000000000;1;;
444555999;444555999;220-00-03907-63;220000000000;7;;
444555999;220-00-03907-63_1;220-00-03907-63;220000000000;2;;
444555999;220-00-03907-63_2;220-00-03907-63;220000000000;2;;
444555999;444555999;220-00-03909-65;220000000000;1;;
444555999;444555999;220-00-03909-65;220000000000;7;;
444555999;220-00-03909-65_1;220-00-03909-65;220000000000;2;;
444555999;220-00-03909-65_2;220-00-03909-65;220000000000;2;;
444555999;444555999;220-00-03911-67;220000000000;1;;
444555999;444555999;220-00-03911-67;220000000000;7;;
444555999;220-00-03911-67_1;220-00-03911-67;220000000000;2;;
444555999;220-00-03911-67_2;220-00-03911-67;220000000000;2;;
444555999;444555999;220-00-03912-68;220000000000;1;;
444555999;444555999;220-00-03912-68;220000000000;7;;
444555999;220-00-03912-68_1;220-00-03912-68;220000000000;2;;
444555999;444555999;220-00-03913-69;220000000000;1;;
444555999;444555999;220-00-03913-69;220000000000;7;;
444555999;220-00-03913-69_1;220-00-03913-69;220000000000;2;;
444555999;220-00-03913-69_2;220-00-03913-69;220000000000;2;;
444555999;444555999;220-00-03915-71;220000000000;1;;
444555999;444555999;220-00-03915-71;220000000000;7;;
444555999;220-00-03915-71_1;220-00-03915-71;220000000000;2;;
444555999;220-00-03915-71_2;220-00-03915-71;220000000000;2;;
444555999;444555999;220-00-03916-72;220000000000;1;;
444555999;444555999;220-00-03916-72;220000000000;7;;
444555999;220-00-03916-72_1;220-00-03916-72;220000000000;2;;
444555999;220-00-03916-72_2;220-00-03916-72;220000000000;2;;
444555999;444555999;220-00-03917-73;220000000000;1;;
444555999;444555999;220-00-03917-73;220000000000;7;;
444555999;220-00-03917-73_1;220-00-03917-73;220000000000;2;;
