ObservedAgentID;ContractID;InstrumentID;DefaultStatusOfTheInstrumentICR;DateOfTheDefaultStatusOfTheInstrumentICR;DateOfICRPastDueAmount;DateOfICRPastDueAmountNEV;ICRPastDueAmount;ICRPastDueAmountNEV;ExigibilityStatus;DateOfExigibilityStatus;DateOfExigibilityStatusNEV;RegularisationStatus;DateOfRegularisationStatus;DateOfRegularisationStatusNEV;UseOfCommitmentAmount
444555999;220-00-03915-71;220000000000;1;2016-08-04;2016-08-04;;833,68;;-5;;-5;0;;0;-5
444555999;220-00-03916-72;220000000000;1;2016-08-11;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03917-73;220000000000;1;2016-08-29;2016-08-29;;686,03;;-5;;-5;0;;0;-5
444555999;220-00-03921-77;220000000000;1;2016-10-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03923-79;220000000000;1;2016-11-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03925-81;220000000000;1;2016-12-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03926-82;220000000000;1;2016-12-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03928-84;220000000000;1;2017-02-09;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03929-85;220000000000;1;2017-02-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03930-86;220000000000;1;2017-02-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03931-87;220000000000;1;2017-03-08;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03932-88;220000000000;1;2017-03-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03933-89;220000000000;1;2017-03-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03934-90;220000000000;1;2017-03-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03935-91;220000000000;1;2017-03-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03936-92;220000000000;1;2017-04-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03937-93;220000000000;1;2017-04-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03938-94;220000000000;1;2017-04-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03939-95;220000000000;1;2017-04-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03940-96;220000000000;1;2017-05-17;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03941-97;220000000000;1;2017-05-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03942-01;220000000000;1;2017-05-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03944-03;220000000000;1;2017-06-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03945-04;220000000000;1;2017-06-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03946-05;220000000000;1;2017-06-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03947-06;220000000000;1;2017-06-16;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03948-07;220000000000;1;2017-06-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03949-08;220000000000;1;2017-06-22;;;;0;-5;;-5;0;;0;-5
